sourceFileName,courseCode,courseName,semester,assessmentCount,totalWeight,confidence,ready,needsReview,canonical,duplicateGroupKey,duplicateStatus,reasons
BMED221_BMED_221_Syllabus_Supplement_Spring_2024.pdf,BMED 221,Anatomy and Physiological Modeling for Engineers,Spring 2024,6,100,0.91,true,false,true,bmed 221|anatomy and physiological modeling for engineers|spring 2024,unique,
BMED321_Fall_2024_-_BMED321_Syllabus_Supplement_for_Students.pdf,BMED 321,Mechanics for Biomedical Engineers,Fall 2024,3,100,0.9,true,false,true,bmed 321|mechanics for biomedical engineers|fall 2024,unique,
BMED322_Syllabus_Supplement_for_Students.pdf,BMED 322,,Spring 2023,5,100,0.87,false,true,false,unknown,unique,missing course name
BMED341_BMED341_Syllabus_Fall_2024.doc,BMED 341,"Molecular Cell Biology (3 Lecture, 1 Laboratory 4 Credits) Prerequisite: Biomedical Engine or Biology 211 and C",Fall 2024,0,0,0.12,false,true,false,"bmed 341|molecular cell biology (3 lecture, 1 laboratory 4 credits) prerequisite: biomedical engine or biology 211 and c|fall 2024",unique,no assessments; total weight 0 is not 100; low confidence; No assessments found
BMED342_BMED_342_Supplementary_Course_Form_2025.pdf,BMED 342,"Molecular Genetics, Technologies and Tools",Spring 2025,8,100,0.9,true,false,true,"bmed 342|molecular genetics, technologies and tools|spring 2025",unique,
BMED351_Syllabus_Supplement_BMED_351_Fall2024.pdf,BMED 351,Biomedical Circuits and Signals,Fall 2024,8,100,0.9,true,false,true,bmed 351|biomedical circuits and signals|fall 2024,unique,
BMED351_BMED_351_Biomed_Circuits_and_Systems_-_Syllabus.pdf,BMED 351,Biomedical Circuits and Systems,,4,100,0.89,true,false,true,bmed 351|biomedical circuits and systems|unknown-term,unique,
BMED352_Syllabus_Supplement_-_Spring_2025.pdf,BMED 352,Fundamental of Biomedical Signal Processing,Spring 2025,8,100,0.9,true,false,true,bmed 352|fundamental of biomedical signal processing|spring 2025,unique,
BMED352_Course_Syllabus.pdf,BMED 352,Fundamentals of Biomedical Signal Processing,,4,100,0.89,true,false,true,bmed 352|fundamentals of biomedical signal processing|unknown-term,unique,
BUSS150_BUSS150_Syllabus_Introduction_to_Economics_Spring_2024.docx,BUSS 150,Introduction to Economics,Spring 2024,4,100,0.89,true,false,true,buss 150|introduction to economics|spring 2024,unique,
